6,58,0.2482,461
6,128,0.42791,99
6,130,0.50619,325
20,9,0.50856,97
20,12,0.12836,117
20,14,0.4125,173
20,17,0.21802,208
60,14,0.21802,381
60,40,0.21802,273
60,42,0.54441,255
60,56,0.55591,98
60,58,0.2482,598
60,77,0.54441,484
60,128,0.12836,162
60,130,0.50619,310
90,75,0.54441,359
90,77,0.34793,125
130,10,0.50856,293
130,12,0.12836,587
130,14,0.21207,281
130,40,0.552,137
130,42,0.54441,289
130,56,0.4125,321
130,58,0.2482,446
130,75,0.41272,222
130,77,0.50619,174
130,128,0.55481,246
130,130,0.50619,424
130,138,0.44877,93
130,140,0.1488,92
180,77,0.66153,271
180,75,0.56055,297
180,58,0.2882,319
180,56,0.4125,161
180,40,0.552,137
158,6,0.50856,293
160,6,0.12836,351
162,6,0.32278,539
208,6,0.56055,328
210,6,0.55192,645
160,20,0.2482,494
162,33,0.56055,212
160,33,0.2482,282
107,33,0.2482,470
105,33,0.21802,296
14,33,0.21802,208
12,33,0.4125,173
10,33,0.50856,214
10,50,0.50856,107
12,50,0.4125,309
105,50,0.59253,190
107,50,0.2482,408
109,50,0.54441,67
160,50,0.2482,396
162,50,0.56055,388
205,50,0.4125,480
208,50,0.56055,297
210,50,0.66153,271
210,70,0.66153,271
208,70,0.56055,297
164,70,0.56055,185
162,70,0.41272,312
105,70,0.2482,272
103,70,0.54441,322
12,70,0.54441,388
10,70,0.50856,197
162,60,0.56055,497
10,90,0.50856,560
12,90,0.50856,267
103,90,0.55481,170
105,90,0.66652,169
107,90,0.50619,167
182,90,0.50619,486
184,90,0.47307,381
105,120,0.66652,339
10,134,0.53459,445
12,134,0.34696,200
105,134,0.1488,215
107,134,0.44877,93
164,134,0.47307,197
164,145,0.47307,197
162,145,0.44877,185
105,145,0.2882,123
6,40,0.55727,273
6,42,0.63453,290
6,56,0.55591,246
